Date,AAPL
2010-01-01,5.754695415496826
2010-02-01,6.131031036376953
2010-03-01,7.041306018829346
2010-04-01,7.8230414390563965
2010-05-01,7.696897506713867
2010-06-01,7.536596298217773
2010-07-01,7.707979679107666
2010-08-01,7.284006595611572
2010-09-01,8.50200080871582
2010-10-01,9.01826286315918
2010-11-01,9.322991371154785
2010-12-01,9.664871215820312
2011-01-01,10.167045593261719
2011-02-01,10.583237648010254
2011-03-01,10.442407608032227
2011-04-01,10.490948677062988
2011-05-01,10.422033309936523
2011-06-01,10.057682037353516
2011-07-01,11.699952125549316
2011-08-01,11.53066635131836
2011-09-01,11.425496101379395
2011-10-01,12.128427505493164
2011-11-01,11.451859474182129
2011-12-01,12.135017395019531
2012-01-01,13.677510261535645
2012-02-01,16.25313377380371
2012-03-01,17.964317321777344
2012-04-01,17.49779510498047
2012-05-01,17.310531616210938
2012-06-01,17.498397827148438
2012-07-01,18.300209045410156
2012-08-01,19.93259048461914
2012-09-01,20.07414436340332
2012-10-01,17.914159774780273
2012-11-01,17.612043380737305
2012-12-01,16.087020874023438
2013-01-01,13.769047737121582
2013-02-01,13.343122482299805
2013-03-01,13.459197998046875
2013-04-01,13.462843894958496
2013-05-01,13.67416000366211
2013-06-01,12.136409759521484
2013-07-01,13.850374221801758
2013-08-01,14.912105560302734
2013-09-01,14.688003540039062
2013-10-01,16.10365867614746
2013-11-01,17.131746292114258
2013-12-01,17.385156631469727
2014-01-01,15.512834548950195
2014-02-01,16.307390213012695
2014-03-01,16.732322692871094
2014-04-01,18.39545249938965
2014-05-01,19.73312759399414
2014-06-01,20.392255783081055
2014-07-01,20.9781494140625
2014-08-01,22.49226188659668
2014-09-01,22.218212127685547
2014-10-01,23.817041397094727
2014-11-01,26.2274112701416
2014-12-01,24.447458267211914
2015-01-01,25.949115753173828
2015-02-01,28.45189094543457
2015-03-01,27.66806983947754
2015-04-01,27.82817268371582
2015-05-01,28.968870162963867
2015-06-01,28.006933212280273
2015-07-01,27.084754943847656
2015-08-01,25.177885055541992
2015-09-01,24.740070343017578
2015-10-01,26.803611755371094
2015-11-01,26.534465789794922
2015-12-01,23.710670471191406
2016-01-01,21.9266300201416
2016-02-01,21.78021240234375
2016-03-01,24.684104919433594
2016-04-01,21.23027801513672
2016-05-01,22.6163387298584
2016-06-01,21.78335189819336
2016-07-01,23.74522590637207
2016-08-01,24.17588233947754
2016-09-01,25.899045944213867
2016-10-01,26.011302947998047
2016-11-01,25.319440841674805
2016-12-01,26.669864654541016
2017-01-01,27.943254470825195
2017-02-01,31.54468536376953
2017-03-01,33.22400665283203
2017-04-01,33.22169494628906
